ward,menu_package,address,cost_numeric,cost_share,lat,lon,Tract,Block_Group,GEOID_Full
1,Alley Apron Menu (2024),2619 N WASHTENAW AVE,69430.67,0.049226,41.929359446247,-87.694860998399,220300,1,170312203001
1,Arterial Street Bump Outs Menu (2024),N WESTERN AVE & W BLOOMINGDALE AVE,23508.74,0.016668,41.914011804347,-87.68736238018,832400,2,170318324002
1,Curb & Gutter Menu (2024),1415 N WOOD ST,43169.06,0.030607,41.907670391681,-87.672195996937,241500,2,170312415002
1,Curb & Gutter Menu (2024),2540 W ARMITAGE AVE,17136.2,0.01215,41.917707888371,-87.691854828825,221400,3,170312214003
1,Curb & Gutter Menu (2024),W BELDEN AVE & N TALMAN AVE,67746.48,0.048032,41.922977004164,-87.693689040697,221400,1,170312214001
1,Goethe Elementary School - New Playspace and Field,2236 N ROCKWELL ST,100000.0,0.0709,41.922761379705,-87.693184785402,221400,1,170312214001
1,Installation of LED and pedestrian countdown traffic signals,N CALIFORNIA AVE & W ARMITAGE AVE,19957.74,0.01415,41.917505004405,-87.697169039257,221400,3,170312214003
1,Miscellaneous Other Projects (2024),1425 N DAMEN AVE,175000.0,0.124075,41.907995735252,-87.676743849961,241400,1,170312414001
1,Park 399 Upgrades - 1420 N Artesian,1420 N ARTESIAN AVE,100000.0,0.0709,41.907147989565,-87.688495026756,241100,1,170312411001
1,Sidewalk Menu (2024),1347 N GREENVIEW AVE,11062.3,0.007843,41.906470145055,-87.664858395078,241600,2,170312416002
1,Sidewalk Menu (2024),1601-1699 W SUPERIOR ST,70098.09,0.0497,41.894778270225,-87.667465250784,243200,1,170312432001
1,Signal (2024) Miscellaneous CDOT Projects (2024),2735 W ARMITAGE AVE,660.0,0.000468,41.917367834559,-87.696281982444,832400,1,170318324001
1,Speed Indicator Signs (2024),2634 W LOGAN BLVD,16310.35,0.011564,41.929131081295,-87.69405759298,220300,1,170312203001
1,Street Bump Outs Menu (2024),N CALIFORNIA AVE & W CORTLAND ST,20463.11,0.014508,41.915679006798,-87.697125034266,832400,1,170318324001
1,Street Light Upgrade Menu (2024),1502 N DAMEN AVE,500.0,0.000354,41.90836415251,-87.67748761991,241400,1,170312414001
1,Street Resurfacing Menu (2024),1501-1599 N BELL AVE,20668.85,0.014654,41.90868933774,-87.683220378907,241200,1,170312412001
1,Street Resurfacing Menu (2024),1325-1200 N Wood St,150689.86,0.106839,41.905963165642,-87.671551428582,241400,3,170312414003
1,Street Resurfacing Menu (2024),1000-1100 N Wood St,79068.79,0.05606,41.899755863426,-87.672520963323,242200,1,170312422001
1,Street Resurfacing Menu (2024),1100-1200 N Wood St,121580.82,0.086201,41.903344994366,-87.672548958879,241400,3,170312414003
1,Street Resurfacing Menu (2024),1700-1800 W Erie St,75102.45,0.053248,41.893499988082,-87.672340920042,243100,1,170312431001
1,Street Resurfacing Menu (2024),2500-2540 W Le Moyne St,13319.57,0.009444,41.908558999146,-87.689715012764,241100,2,170312411002
1,Street Speed Hump Menu (2024),1500-1600 N Artesian Ave,4880.0,0.00346,41.908607027451,-87.688631819416,241100,1,170312411001
1,Street Speed Hump Menu (2024),2700-2800 N Francisco Ave,4880.0,0.00346,41.930382038434,-87.700397161627,220400,2,170312204002
1,Street Speed Hump Menu (2024),800-1000 N Hermitage Ave,7320.0,0.00519,41.899727993598,-87.671210033666,242100,2,170312421002
1,Street Speed Hump Menu (2024),1500-1600 N Oakley Ave,4880.0,0.00346,41.910432983148,-87.684904973807,240500,1,170312405001
1,Street Speed Hump Menu (2024),2000-2160 N Stave St,12200.0,0.00865,41.920216927268,-87.696383152016,221400,2,170312214002
1,Street Speed Hump Menu (2024),2400-2600 N Talman Ave,9760.0,0.00692,41.928849994172,-87.693993974335,220300,1,170312203001
1,Street Speed Hump Menu (2024),1600-1800 W Beach Ave,9760.0,0.00692,41.907734010326,-87.667744032884,241500,2,170312415002
1,Street Speed Hump Menu (2024),2000-2200 W Cortez St,9760.0,0.00692,41.900571799791,-87.682245982663,242400,1,170312424001
1,Street Speed Hump Menu (2024),2600-2800 W Cortland St,9760.0,0.00692,41.915943372024,-87.6924387122,832400,1,170318324001
1,Street Speed Hump Menu (2024),2800-3000 W Dickens Ave,7320.0,0.00519,41.919693980329,-87.697819977858,221300,2,170312213002
1,Street Speed Hump Menu (2024),1700-1800 W Erie St,4880.0,0.00346,41.893499988082,-87.672340920042,243100,1,170312431001
1,Street Speed Hump Menu (2024),2400-2540 W Le Moyne St,7320.0,0.00519,41.908598980824,-87.68731996775,241100,1,170312411001
1,Street Speed Hump Menu (2024),2400-2500 W Lyndale St,2440.0,0.00173,41.922555981168,-87.68938199975,221500,2,170312215002
1,Street Speed Hump Menu (2024),2840-3000 W Medill Ave,2440.0,0.00173,41.923868103822,-87.702332279037,221200,2,170312212002
1,Street Speed Hump Menu (2024),2000-2200 W Thomas St,9760.0,0.00692,41.901537185489,-87.682520909087,242400,1,170312424001
1,Street Speed Hump Replacement (2024),1500-1600 N Bell Ave,0.0,0.0,41.910590772475,-87.68383904718,240500,1,170312405001
1,Street Traffic Circle Menu (2024),N ROCKWELL ST & W CORTLAND ST,18365.38,0.013021,41.915717982648,-87.692222040003,832400,2,170318324002
1,at N. California Ave. & W. Armitage Ave. LED Traffic Signal Upgrades & Pedestrian Countdown,W ARMITAGE AVE & N KEDZIE AVE,16987.88,0.012044,41.917407983876,-87.707022972269,221100,2,170312211002
1,,2002 N STAVE ST,17136.2,0.01215,41.917850808544,-87.691847863341,221400,3,170312214003
1,,W ARMITAGE AVE & N STAVE ST,17136.2,0.01215,41.917553996629,-87.691387034809,221400,3,170312214003
1,,2909 W LOGAN BLVD,16310.35,0.011564,41.927906988155,-87.700453739474,220400,2,170312204002
1,,1530 N DAMEN AVE,500.0,0.000354,41.909224731805,-87.677770297824,241400,1,170312414001
1,,1542 N DAMEN AVE,500.0,0.000354,41.909544752869,-87.677679270356,241400,1,170312414001
1,,1500-1600 N Bell Ave,20668.85,0.014654,41.910590772475,-87.68383904718,240500,1,170312405001
1,,1501-1599 N BELL AVE,0.0,0.0,41.90868933774,-87.683220378907,241200,1,170312412001
2,(2024) Miscellaneous CDOT Projects (2024),530 N MCCLURG CT,660.0,0.000506,41.891762773041,-87.617748049172,081403,1,170310814031
2,Alley Resurfacing Menu (2024),N CLARK ST & W SCHILLER ST & W BURTON PL & N DEARBORN ST,27810.45,0.021326,41.909468980464,-87.630150023676,080201,2,170310802012
2,Alley Resurfacing Menu (2024),N HUDSON AVE & W NORTH AVE & W BLACKHAWK ST & N SEDGWICK ST,38625.63,0.02962,41.909263120922,-87.63853980584,080400,1,170310804001
2,Alley Resurfacing Menu (2024),N MAGNOLIA AVE & W WEBSTER AVE & W BELDEN AVE & N RACINE AVE,40370.34,0.030958,41.921671983749,-87.659525995916,832500,2,170318325002
2,Alley Resurfacing Menu (2024),N WELLS ST & W GOETHE ST & W SCHILLER ST & N LA SALLE DR,34499.24,0.026456,41.907700985627,-87.633111014791,080201,1,170310802011
2,Alley Speed Hump Menu (2024),E ONTARIO ST & N ST CLAIR ST & N FAIRBANKS CT & E OHIO ST,2175.0,0.001668,41.893357914823,-87.622709408227,081403,2,170310814032
2,Alley Speed Hump Menu (2024),N GREENVIEW AVE & N CLYBOURN AVE & N JANSSEN AVE & W BELDEN AVE,2175.0,0.001668,41.922589005866,-87.665745032796,832500,1,170318325001
2,Alley Speed Hump Menu (2024),W FULLERTON AVE & N JANSSEN AVE & N SOUTHPORT AVE & W BELDEN AVE,1450.0,0.001112,41.925213002565,-87.664572991275,070600,2,170310706002
2,Arterial Street Bump Outs Menu (2024),N SOUTHPORT AVE & W BELDEN AVE,400000.0,0.30674,41.92342149649,-87.66324370525,832500,2,170318325002
2,Concrete Alley Menu (2024),N LARRABEE ST & W NORTH AVE & W BLACKHAWK ST & N MOHAWK ST,61080.84,0.04684,41.909199083182,-87.642157099974,080400,3,170310804003
2,Curb & Gutter Menu (2024),161 W BURTON PL,4174.37,0.003201,41.908962252507,-87.634006956422,080300,4,170310803004
2,Curb & Gutter Menu (2024),400-500 E Huron St,58975.44,0.045225,41.895105972932,-87.6175626933,081401,2,170310814012
2,"In-Road ""State Law Stop For Pedestrians"" Sign Menu",N HALSTED ST & W BLACKHAWK ST,350.0,0.000268,41.9085750924,-87.648173294798,842200,1,170318422001
2,Miscellaneous CDOT Projects (2024),E LAKE SHORE DR & N MICHIGAN AVE,761.0,0.000584,41.900838009036,-87.624255031172,081201,3,170310812013
2,Miscellaneous CDOT Projects (2024),N LA SALLE DR & W BURTON PL,105000.0,0.080519,41.909187013241,-87.633155019783,080201,1,170310802011
2,Miscellaneous CDOT Projects (2024),N LA SALLE DR & W DELAWARE PL,120000.0,0.092022,41.899265983095,-87.632688985966,081000,2,170310810002
2,Miscellaneous CDOT Projects (2024),1430-1500 W Fullerton Ave,4773.0,0.00366,41.925463034737,-87.666447687739,070600,2,170310706002
2,Sidewalk Menu (2024),1250 N LA SALLE DR,23843.94,0.018285,41.905290978917,-87.633502952584,080300,2,170310803002
2,Sidewalk Menu (2024),1339 N DEARBORN ST,20115.81,0.015426,41.907043341504,-87.629665465853,080202,3,170310802023
2,Sidewalk Menu (2024),1554 N DEARBORN PKWY,12840.21,0.009847,41.910958989482,-87.630621841005,080201,2,170310802012
2,Sidewalk Menu (2024),2210 N SOUTHPORT AVE,21667.54,0.016616,41.921996336327,-87.663252529784,832500,1,170318325001
2,Sidewalk Menu (2024),W WEBSTER AVE & N WAYNE AVE,31223.69,0.023944,41.921643988193,-87.66197803787,832500,2,170318325002
2,Street Light Pole Painting Menu (2024),1300-1400 N Dearborn St,1800.0,0.00138,41.90806601751,-87.63025697676,080201,1,170310802011
2,Street Resurfacing Menu (2024),150-300 E Delaware Pl,156618.88,0.120103,41.899343576874,-87.620020992074,081300,2,170310813002
2,Street Resurfacing Menu (2024),330-1000 E Lake Shore Dr,55540.08,0.042591,41.866207161098,-87.610119259158,330101,1,170313301011
2,Street Resurfacing Menu (2024),600-660 N Mcclurg Ct,47031.91,0.036066,41.892868076401,-87.617969274343,081403,2,170310814032
2,Street Resurfacing Menu (2024),1600-1700 N North Park Ave,21704.35,0.016644,41.913131746423,-87.637037936429,071500,4,170310715004
2,Street Speed Hump Menu (2024),2300-2400 N Lakewood Ave,2440.0,0.001871,41.923696297185,-87.661085616639,832500,2,170318325002
2,Street Speed Hump Menu (2024),200-300 W Chestnut St,2440.0,0.001871,41.898230158228,-87.635798397713,081800,1,170310818001
2,Street Speed Hump Menu (2024),200-300 W Institute Pl,2440.0,0.001871,41.897815997665,-87.634628055447,081800,1,170310818001
2,,1425 W FULLERTON AVE,1450.0,0.001112,41.924977261538,-87.664416249685,832500,1,170318325001
3,Alley Resurfacing Menu (2024),E 44TH PL & S VINCENNES AVE & E 45TH ST & S ST LAWRENCE AVE,57146.97,0.038098,41.813108190807,-87.611529961047,836000,3,170318360003
3,Alley Resurfacing Menu (2024),E 44TH ST & S VINCENNES AVE,16727.47,0.011152,41.814879412677,-87.614046962752,836000,1,170318360001
3,Alley Resurfacing Menu (2024),S CALUMET AVE & E 42ND ST & E 43RD ST & S DR MARTIN LUTHER KING JR DR,46904.63,0.03127,41.818394992416,-87.618397002862,380600,2,170313806002
3,Alley Resurfacing Menu (2024),S INDIANA AVE & E 21ST ST & E CULLERTON ST & S PRAIRIE AVE,17335.18,0.011557,41.855568020537,-87.620725998478,330103,2,170313301032
3,Alley Resurfacing Menu (2024),S INDIANA AVE & E 50TH ST & E 51ST ST & S PRAIRIE AVE,31425.81,0.020951,41.803860981857,-87.621090192171,381800,1,170313818001
