ward,menu_package,address,cost_numeric,cost_share,lat,lon,Tract,Block_Group,GEOID_Full
1,Alley Resurfacing Menu (2023),W SUPERIOR ST & N PAULINA ST & N WOOD ST & W HURON ST,19358.0,0.012905,41.895129597697,-87.669698692704,243200,1,170312432001
1,Alley Speed Hump Replacement (2023),W SUPERIOR ST & N PAULINA ST & N WOOD ST & W HURON ST,0.0,0.0,41.895129597697,-87.669698692704,243200,1,170312432001
1,Arterial Street Bump Outs Menu (2023),N ASHLAND AVE & W HURON ST,150000.0,0.1,41.894270117345,-87.667300881663,243200,1,170312432001
1,Arterial Street Bump Outs Menu (2023),N ASHLAND AVE & W OHIO ST,100000.0,0.066667,41.892422913524,-87.667318232203,243200,2,170312432002
1,Bike Lane/Marked Shared Lane Menu (2023),500-1000 N Paulina St,100000.0,0.066667,41.899745008862,-87.66999599881,242100,2,170312421002
1,Concrete Alley Menu (2023),W ARMITAGE AVE & N WHIPPLE ST & N ALBANY AVE & W CORTLAND ST,43441.95,0.028961,41.917438996917,-87.703926026683,221200,1,170312212001
1,Curb & Gutter Menu (2023),W BELDEN AVE & N TALMAN AVE,94353.88,0.062903,41.922977004164,-87.693689040697,221400,1,170312214001
1,Logan Square Skate Park Renovation (Haas Park),2402 N WASHTENAW AVE,100000.0,0.066667,41.925166860188,-87.695176325596,220300,2,170312203002
1,Miscellaneous CDOT Projects (2023),1900 W OHIO ST,660.0,0.00044,41.89250803175,-87.674678549019,243100,2,170312431002
1,Miscellaneous CDOT Projects (2023),1958 W DIVISION ST,660.0,0.00044,41.903492096767,-87.677051465808,241400,4,170312414004
1,Miscellaneous CDOT Projects (2023),827 N WOOD ST,761.0,0.000507,41.896846923929,-87.67197840273,242100,3,170312421003
1,Pavement Markings Menu (2023),500-800 N Ashland Ave,8000.0,0.005333,41.896124990609,-87.667518978784,242100,3,170312421003
1,Pavement Markings Menu (2023),W FULLERTON AVE & N CAMPBELL AVE,10000.0,0.006667,41.924921982887,-87.690081972485,830900,2,170318309002
1,Pavement Markings Menu (2023),W FULLERTON AVE & N TALMAN AVE,50000.0,0.033333,41.924895998987,-87.69373296187,220300,2,170312203002
1,Pedestrian Refuge Island Menu (2023),N WESTERN AVE & W CHARLESTON ST,28149.75,0.018767,41.919976785742,-87.687523228902,221500,1,170312215001
1,Protected Bike Lane Menu (2023),1800-2600 N California Ave,375000.0,0.25,41.914066789632,-87.697372803324,222500,1,170312225001
1,Sidewalk Menu (2023),1056 N PAULINA ST,5062.01,0.003375,41.901307395613,-87.670183166708,242100,2,170312421002
1,Sidewalk Menu (2023),2221 W SUPERIOR ST,7034.99,0.00469,41.894681333515,-87.682679578514,242900,1,170312429001
1,Sidewalk Menu (2023),N CALIFORNIA AVE & W NORTH AVE,8165.46,0.005444,41.910185004543,-87.697022020676,241000,2,170312410002
1,Street Bump Outs Menu (2023),1310-1314 N OAKLEY BLVD,10535.38,0.007024,41.905406271995,-87.684942776191,241200,2,170312412002
1,Street Bump Outs Menu (2023),1700 W LE MOYNE ST,10466.69,0.006978,41.909179008524,-87.670161038484,241500,1,170312415001
1,Street Bump Outs Menu (2023),W CRYSTAL ST & N WOOD ST,29913.24,0.019942,41.904082518026,-87.672396659699,241400,3,170312414003
1,Street Bump Outs Menu (2023),W LE MOYNE ST & N WOOD ST,14871.92,0.009915,41.909039994659,-87.672521969151,241500,1,170312415001
1,Street Bump Outs Menu (2023),W PIERCE AVE & N PAULINA ST,10668.51,0.007112,41.909828983205,-87.670109992693,241500,1,170312415001
1,Street Bump Outs Menu (2023),W POTOMAC AVE & N WOOD ST,30232.73,0.020155,41.904837015041,-87.672405795973,241400,3,170312414003
1,Street Resurfacing Menu (2023),500-600 N Hermitage Ave,10748.74,0.007166,41.891164999405,-87.67057602651,243200,2,170312432002
1,Street Resurfacing Menu (2023),1400-1550 N Wicker Park Ave,95717.96,0.063812,41.908835956064,-87.677354602101,241400,1,170312414001
1,Street Resurfacing Menu (2023),1900-2000 W Schiller St,84704.56,0.05647,41.907259007873,-87.677554966732,241400,1,170312414001
1,Street Speed Hump Menu (2023),1370 N DEAN ST,2440.0,0.001627,41.907173009546,-87.67130835339,241500,3,170312415003
1,Street Speed Hump Menu (2023),2500-2600 N Artesian Ave,2440.0,0.001627,41.926837918315,-87.689203129937,830900,2,170318309002
1,Street Speed Hump Menu (2023),1500-1600 N Campbell Ave,4880.0,0.003253,41.908598980824,-87.689926320543,241100,2,170312411002
1,Street Speed Hump Menu (2023),2500-2610 N Maplewood Ave,4880.0,0.003253,41.926901788417,-87.691753323978,830900,2,170318309002
1,Street Speed Hump Menu (2023),2300-2500 N Maplewood Ave,4880.0,0.003253,41.926901788417,-87.691753323978,830900,2,170318309002
1,Street Speed Hump Menu (2023),1900-2000 N Richmond St,4880.0,0.003253,41.91761799246,-87.700213011215,221300,3,170312213003
1,Street Speed Hump Menu (2023),1900-2000 N Sawyer Ave,4880.0,0.003253,41.917608479,-87.709098331495,221100,2,170312211002
1,Street Speed Hump Menu (2023),1320-1370 N Wicker Park Ave,4880.0,0.003253,41.906050169797,-87.672953469526,241400,2,170312414002
1,Street Speed Hump Menu (2023),2100-2200 W Haddon Ave,4880.0,0.003253,41.902342015832,-87.679751025364,242300,1,170312423001
1,Street Speed Hump Menu (2023),1400-1600 W Huron St,7320.0,0.00488,41.894363994661,-87.667659040386,243200,1,170312432001
1,Street Speed Hump Menu (2023),1600-1800 W Pearson St,9760.0,0.006507,41.897421000478,-87.6677079907,242100,3,170312421003
1,Street Speed Hump Menu (2023),2200-2300 W Potomac Ave,2440.0,0.001627,41.905144798525,-87.68484847978,241200,2,170312412002
1,Street Speed Hump Menu (2023),2900-3000 W Schubert Ave,2440.0,0.001627,41.930356012625,-87.700117960433,220400,2,170312204002
1,Street Speed Hump Replacement (2023),500-600 N Hermitage Ave,0.0,0.0,41.891164999405,-87.67057602651,243200,2,170312432002
