ward,menu_package,address,cost,cost_numeric
1,Alley Apron Menu (2025),1300 N BELL AVE,"$23,832.91",23832.91
1,Alley Apron Menu (2025),1300 N LEAVITT ST,"$18,964.45",18964.45
1,Alley Apron Menu (2025),1383 N WOLCOTT AVE,"$105,424.65",105424.65
1,Alley Resurfacing Menu (2025),N CALIFORNIA AVE & W FULLERTON AVE&W ALTGELD ST & N MOZART ST,"$32,875.80",32875.8
1,Alley Resurfacing Menu (2025),W ERIE ST & N ASHLAND AVE&N PAULINA ST & W HURON ST,"$44,029.02",44029.02
1,Alley Resurfacing Menu (2025),W NORTH AVE & N CAMPBELL AVE&N MAPLEWOOD AVE & W LE MOYNE ST,"$57,437.05",57437.05
1,Alley Speed Hump Menu (2025),W DIVISION ST & N HONORE ST&N WOLCOTT AVE & W THOMAS ST,$725.00,725.0
1,Alley Speed Hump Replacement (2025),N CALIFORNIA AVE & W FULLERTON AVE&W ALTGELD ST & N MOZART ST,$0.00,0.0
1,Alley Speed Hump Replacement (2025),W ERIE ST & N ASHLAND AVE&N PAULINA ST & W HURON ST,$0.00,0.0
1,Alley Speed Hump Replacement (2025),W NORTH AVE & N CAMPBELL AVE&N MAPLEWOOD AVE & W LE MOYNE ST,$0.00,0.0
1,Arterial Street Bump Outs Menu (2025),N CALIFORNIA AVE & W SHAKESPEARE AVE,"$160,000.00",160000.0
1,Curb & Gutter Menu (2025),1703 W AUGUSTA BLVD,"$73,099.04",73099.04
1,Pavement Markings Menu (2025),N WESTERN AVE & W LOGAN BLVD,"$4,100.00",4100.0
1,Pavement Markings Menu (2025),ON N WESTERN AVE FROM W SHAKESPEARE AVE (2130 N) TO W PALMER ST (2200 N),"$2,250.00",2250.0
1,Public restroom pilot with JCDecaux in the Polish Triangle,1204 N MILWAUKEE AVE,"$315,659.00",315659.0
1,Sidewalk Menu (2025),ON N WASHTENAW AVE FROM 2743 N TO W SCHUBERT AVE (2700 N),"$19,091.61",19091.61
1,Sidewalk Menu (2025),ON W POTOMAC AVE FROM N LEAVITT ST (2200 W) TO N OAKLEY BLVD (2300 W),"$76,348.62",76348.62
1,Street Bump Outs Menu (2025),W EVERGREEN AVE & W SCHILLER ST; N WICKER PARK AVE & W SCHILLER ST,"$40,000.00",40000.0
1,Street Resurfacing Menu (2025),ON N CAMPBELL AVE FROM W CHARLESTON ST (2100 N) TO W PALMER ST (2200 N),"$56,827.71",56827.71
1,Street Resurfacing Menu (2025),ON N LEAVITT ST FROM W THOMAS ST (1100 N) TO W DIVISION ST (1200 N),"$61,699.26",61699.26
1,Street Resurfacing Menu (2025),ON N MARSHFIELD AVE FROM W DIVISION ST (1200 N) TO W CHICAGO AVE (800 N),"$218,627.27",218627.27
1,Street Resurfacing Menu (2025),ON N WOLCOTT AVE FROM N WICKER PARK AVE (1370 N) TO N MILWAUKEE AVE (1400 N),"$27,310.55",27310.55
1,Street Resurfacing Menu (2025),ON W MEDILL AVE FROM N TALMAN AVE (2620 W) TO N CALIFORNIA AVE (2800 W),"$100,773.05",100773.05
1,Street Speed Hump Menu (2025),1400 N PAULINA ST,"$2,440.00",2440.0
1,Street Speed Hump Menu (2025),ON N CAMPBELL AVE FROM N MILWAUKEE AVE (2020 N) TO W CHARLESTON ST (2100 N),"$4,880.00",4880.0
1,Street Speed Hump Menu (2025),ON N MARSHFIELD AVE FROM W CHICAGO AVE (800 N) TO W AUGUSTA BLVD (1000 N),"$4,880.00",4880.0
1,Street Speed Hump Menu (2025),ON N MOZART ST FROM W ARMITAGE AVE (2000 N) TO W PALMER ST (2200 N),"$9,760.00",9760.0
1,Street Speed Hump Menu (2025),ON N RICHMOND ST FROM W ALTGELD ST (2500 N) TO W LOGAN BLVD (2563 N),"$4,880.00",4880.0
1,Street Speed Hump Menu (2025),ON N WASHTENAW AVE FROM W BLOOMINGDALE AVE (1800 N) TO W ARMITAGE AVE (2000 N),"$9,760.00",9760.0
1,Street Speed Hump Menu (2025),ON W ERIE ST FROM N RACINE AVE (1200 W) TO N ADA ST (1340 W),"$2,440.00",2440.0
1,Street Speed Hump Menu (2025),ON W LE MOYNE ST FROM N ASHLAND AVE (1600 W) TO N WOOD ST (1800 W),"$9,760.00",9760.0
1,Street Speed Hump Menu (2025),ON W SCHILLER ST FROM N HOYNE AVE (2100 W) TO N LEAVITT ST (2200 W),"$4,880.00",4880.0
