ward,menu_package,address,cost,cost_numeric,cost_share
1,Alley Apron Menu (2025),1300 N BELL AVE,"$23,832.91",23832.91,0.015966
1,Alley Apron Menu (2025),1300 N LEAVITT ST,"$18,964.45",18964.45,0.012704
1,Alley Apron Menu (2025),1383 N WOLCOTT AVE,"$105,424.65",105424.65,0.070624
1,Alley Resurfacing Menu (2025),N CALIFORNIA AVE & W FULLERTON AVE & W ALTGELD ST & N MOZART ST,"$32,875.80",32875.8,0.022024
1,Alley Resurfacing Menu (2025),W ERIE ST & N ASHLAND AVE & N PAULINA ST & W HURON ST,"$44,029.02",44029.02,0.029495
1,Alley Resurfacing Menu (2025),W NORTH AVE & N CAMPBELL AVE & N MAPLEWOOD AVE & W LE MOYNE ST,"$57,437.05",57437.05,0.038477
1,Alley Speed Hump Menu (2025),W DIVISION ST & N HONORE ST & N WOLCOTT AVE & W THOMAS ST,$725.00,725.0,0.000486
1,Alley Speed Hump Replacement (2025),N CALIFORNIA AVE & W FULLERTON AVE & W ALTGELD ST & N MOZART ST,$0.00,0.0,0.000000
1,Alley Speed Hump Replacement (2025),W ERIE ST & N ASHLAND AVE & N PAULINA ST & W HURON ST,$0.00,0.0,0.000000
1,Alley Speed Hump Replacement (2025),W NORTH AVE & N CAMPBELL AVE & N MAPLEWOOD AVE & W LE MOYNE ST,$0.00,0.0,0.000000
1,Arterial Street Bump Outs Menu (2025),N CALIFORNIA AVE & W SHAKESPEARE AVE,"$160,000.00",160000.0,0.107184
1,Curb & Gutter Menu (2025),1703 W AUGUSTA BLVD,"$73,099.04",73099.04,0.048969
1,Pavement Markings Menu (2025),N WESTERN AVE & W LOGAN BLVD,"$4,100.00",4100.0,0.002747
1,Pavement Markings Menu (2025),2130-2200 N Western Ave,"$2,250.00",2250.0,0.001507
1,Public restroom pilot with JCDecaux in the Polish Triangle,1204 N MILWAUKEE AVE,"$315,659.00",315659.0,0.211461
1,Sidewalk Menu (2025),2743-2700 N Washtenaw Ave,"$19,091.61",19091.61,0.012790
1,Sidewalk Menu (2025),2200-2300 W Potomac Ave,"$76,348.62",76348.62,0.051146
1,Street Bump Outs Menu (2025),W EVERGREEN AVE & W SCHILLER ST,"$20,000.00",20000.00,0.013398
1,,N WICKER PARK AVE & W SCHILLER ST,"$20,000.00",20000.00,0.013398
1,Street Resurfacing Menu (2025),2100-2200 N Campbell Ave,"$56,827.71",56827.71,0.038069
1,Street Resurfacing Menu (2025),1100-1200 N Leavitt St,"$61,699.26",61699.26,0.041332
1,Street Resurfacing Menu (2025),1200-800 N Marshfield Ave,"$218,627.27",218627.27,0.146459
1,Street Resurfacing Menu (2025),1370-1400 N Wolcott Ave,"$27,310.55",27310.55,0.018295
1,Street Resurfacing Menu (2025),2620-2800 W Medill Ave,"$100,773.05",100773.05,0.067508
1,Street Speed Hump Menu (2025),1400 N PAULINA ST,"$2,440.00",2440.0,0.001635
1,Street Speed Hump Menu (2025),2020-2100 N Campbell Ave,"$4,880.00",4880.0,0.003269
1,Street Speed Hump Menu (2025),800-1000 N Marshfield Ave,"$4,880.00",4880.0,0.003269
1,Street Speed Hump Menu (2025),2000-2200 N Mozart St,"$9,760.00",9760.0,0.006538
1,Street Speed Hump Menu (2025),2500-2563 N Richmond St,"$4,880.00",4880.0,0.003269
1,Street Speed Hump Menu (2025),1800-2000 N Washtenaw Ave,"$9,760.00",9760.0,0.006538
1,Street Speed Hump Menu (2025),1200-1340 W Erie St,"$2,440.00",2440.0,0.001635
1,Street Speed Hump Menu (2025),1600-1800 W Le Moyne St,"$9,760.00",9760.0,0.006538
1,Street Speed Hump Menu (2025),2100-2200 W Schiller St,"$4,880.00",4880.0,0.003269
1,Street Speed Hump Replacement (2025),1200-800 N Marshfield Ave,$0.00,0.0,0.000000
2,accent areas along existing walking path Sidewalk Menu (2025),148 W BURTON PL,"$12,418.85",12418.85,0.008279
