ward,menu_package,address,cost,cost_numeric
1,Alley Apron Menu (2024),2619 N WASHTENAW AVE,"$69,430.67",69430.67
1,Arterial Street Bump Outs Menu (2024),N WESTERN AVE & W BLOOMINGDALE AVE,"$23,508.74",23508.74
1,at N. California Ave. & W. Armitage Ave. LED Traffic Signal Upgrades & Pedestrian Countdown,W ARMITAGE AVE & N KEDZIE AVE,"$16,987.88",16987.88
1,Curb & Gutter Menu (2024),1415 N WOOD ST,"$43,169.06",43169.06
1,Curb & Gutter Menu (2024),2540 W ARMITAGE AVE; 2002 N STAVE ST; W ARMITAGE AVE & N STAVE ST,"$51,408.61",51408.61
1,Curb & Gutter Menu (2024),W BELDEN AVE & N TALMAN AVE,"$67,746.48",67746.48
1,Goethe Elementary School - New Playspace and Field,2236 N ROCKWELL ST,"$100,000.00",100000.0
1,Installation of LED and pedestrian countdown traffic signals,N CALIFORNIA AVE & W ARMITAGE AVE,"$19,957.74",19957.74
1,Miscellaneous Other Projects (2024),1425 N DAMEN AVE,"$175,000.00",175000.0
1,Park 399 Upgrades - 1420 N Artesian,1420 N ARTESIAN AVE,"$100,000.00",100000.0
1,Sidewalk Menu (2024),1347 N GREENVIEW AVE,"$11,062.30",11062.3
1,Sidewalk Menu (2024),1601-1699 W SUPERIOR ST,"$70,098.09",70098.09
1,Signal (2024) Miscellaneous CDOT Projects (2024),2735 W ARMITAGE AVE,$660.00,660.0
1,Speed Indicator Signs (2024),2634 W LOGAN BLVD; 2909 W LOGAN BLVD,"$32,620.70",32620.7
1,Street Bump Outs Menu (2024),N CALIFORNIA AVE & W CORTLAND ST,"$20,463.11",20463.11
1,Street Light Upgrade Menu (2024),1502 N DAMEN AVE; 1530 N DAMEN AVE; 1542 N DAMEN AVE,"$1,500.00",1500.0
1,Street Resurfacing Menu (2024),1501-1599 N BELL AVE; ON N BELL AVE FROM W LE MOYNE ST (1500 N) TO W NORTH AVE (1600 N),"$41,337.70",41337.7
1,Street Resurfacing Menu (2024),ON N WOOD ST FROM 1325 N TO W DIVISION ST (1200 N),"$150,689.86",150689.86
1,Street Resurfacing Menu (2024),ON N WOOD ST FROM W AUGUSTA BLVD (1000 N) TO W THOMAS ST (1100 N),"$79,068.79",79068.79
